,Keys,MIValues
0,neighbor_QUI,0.32539669203124477
1,neighbor_CAR,0.11429686314226828
2,neighbor_PAP,0.07360737819934116
3,neighbor_OXA,0.06482343737025964
4,numberOfPatients,0.06404603259190544
5,neighbor_CF3,0.0355683798374109
6,neighbor_PEN,0.021189939602269448
7,neighbor_GLI,0.008515350358008433
8,CAR,0.003958828186856778
9,ATF,0.0015835312747416452
10,PAP,0.0007917656373752635
11,neighbor_NTI,5.329070518200751e-15
12,AMG,1.7763568394002505e-15
13,CF1,1.7763568394002505e-15
14,CF2,1.7763568394002505e-15
15,CF3,1.7763568394002505e-15
16,CF4,3.552713678800501e-15
17,Falta,3.552713678800501e-15
18,GLI,3.552713678800501e-15
19,LIN,3.552713678800501e-15
20,MAC,3.552713678800501e-15
21,SUL,3.552713678800501e-15
22,pc_enteroc,3.552713678800501e-15
23,pc_pseud,3.552713678800501e-15
24,pc_staph,3.552713678800501e-15
25,neighbor_CF2,3.552713678800501e-15
26,neighbor_GCC,3.552713678800501e-15
27,neighbor_OTR,3.552713678800501e-15
28,neighbor_POL,3.552713678800501e-15
29,neighbor_TTC,3.552713678800501e-15
30,GCC,1.7763568394002505e-15
31,LIP,1.7763568394002505e-15
32,MON,1.7763568394002505e-15
33,NTI,1.7763568394002505e-15
34,neighbor_CF1,3.552713678800501e-15
35,OTR,1.7763568394002505e-15
36,OXA,1.7763568394002505e-15
37,POL,1.7763568394002505e-15
38,TTC,1.7763568394002505e-15
39,pc_acinet,1.7763568394002505e-15
40,pc_enterob,1.7763568394002505e-15
41,pc_stenot,1.7763568394002505e-15
42,numberOfPatientsMR,1.7763568394002505e-15
43,neighbor_LIN,1.7763568394002505e-15
44,neighbor_MON,1.7763568394002505e-15
45,PEN,0.0
46,QUI,0.0
47,pc_no_germ,0.0
48,isVM,0.0
49,neighbor_AMG,0.0
50,neighbor_ATF,0.0
51,neighbor_CF4,0.0
52,neighbor_Falta,0.0
53,neighbor_LIP,0.0
54,neighbor_MAC,0.0
55,neighbor_SUL,0.0
